Object Tracking Data File Wed, Mar 13, 2024 3:27 PM
X (pixels)  	Y (pixels)  
426.86	128.62
429.56	125.40
422.71	129.87
421.23	133.30
416.32	127.59
419.66	128.13
413.61	126.72
413.50	124.32
411.74	120.99
409.22	121.96
407.66	120.71
408.65	119.23
400.69	117.05
399.26	117.31
397.99	113.79
400.59	117.41
396.96	117.97
395.21	121.45
392.44	124.30
393.06	120.30
392.88	120.72
392.00	117.39
394.79	122.46
392.13	123.88
391.70	124.54
397.96	128.60
390.40	130.05
392.38	130.32
393.66	128.37
390.34	128.18
387.59	129.75
388.61	126.16
385.07	125.93
386.65	125.57
384.28	126.08
385.02	125.25
386.55	125.86
394.07	126.17
392.43	134.30
392.72	134.83
392.87	133.54
391.34	137.46
391.83	136.93
393.57	140.15
394.42	143.97
397.22	145.26
397.21	151.24
403.42	156.34
402.46	157.13
409.89	157.21
410.26	154.43
404.34	153.32
399.88	151.01
398.12	150.23
400.19	153.47
399.65	156.78
400.18	161.81
400.47	161.24
402.69	164.31
403.78	168.08
406.70	169.06
403.22	173.29
404.07	175.62
403.34	176.10
404.59	176.54
408.78	178.42
402.16	179.45
403.72	181.48
403.04	177.21
404.24	180.29
402.20	175.18
406.66	176.24
407.34	175.14
402.66	178.00
404.14	179.86
399.75	186.77
409.33	187.59
407.14	188.99
406.52	190.35
407.09	190.10
401.93	194.31
406.20	200.78
406.58	195.50
409.35	194.15
406.89	199.31
408.87	199.53
407.49	202.71
402.37	203.33
402.97	203.26
403.32	194.94
403.56	197.29
409.77	197.61
408.82	194.00
403.18	192.07
401.28	187.72
404.35	185.65
402.00	187.40
404.50	190.87
404.39	189.64
403.68	187.87
403.42	186.79
402.14	189.99
404.02	190.86
398.26	198.28
395.57	201.85
391.84	201.01
391.71	201.99
393.79	193.05
392.48	202.60
386.78	203.67
389.28	199.54
389.67	200.81
391.34	199.73
395.17	203.22
394.84	208.88
396.71	211.90
398.96	211.21
400.77	210.54
395.52	215.37
400.44	221.84
